Company,Day,Stock Exchange,Total Messages,Negative Messages,Neutral Messages,Positive Messages
Fresenius SE & Co KGaA,2018-02-04,DAX,3,0,0,3
Merck KGaA,2018-02-07,DAX,3,0,2,1
Deutsche Boerse AG,2018-02-04,DAX,4,1,0,3
Munich Re,2018-02-03,DAX,4,0,2,2
Bayer AG,2018-02-04,DAX,5,0,2,3
Fresenius SE & Co KGaA,2018-02-06,DAX,5,0,4,1
Munich Re,2018-02-04,DAX,5,0,4,1
Merck KGaA,2018-02-04,DAX,6,3,2,1
Merck KGaA,2018-02-08,DAX,6,0,3,3
Bayer AG,2018-02-03,DAX,7,1,2,4
Bayer AG,2018-02-06,DAX,7,1,2,4
Deutsche Boerse AG,2018-02-07,DAX,7,0,5,2
Fresenius Medical Care,2018-02-06,DAX,7,1,0,6
Fresenius Medical Care,2018-02-07,DAX,7,0,0,7
Munich Re,2018-02-02,DAX,8,0,7,1
Fresenius Medical Care,2018-02-03,DAX,9,1,0,8
Fresenius Medical Care,2018-02-08,DAX,9,2,0,7
Fresenius SE & Co KGaA,2018-02-03,DAX,9,2,5,2
Fresenius SE & Co KGaA,2018-02-08,DAX,10,1,7,2
Allianz SE,2018-02-04,DAX,11,2,8,1
Fresenius Medical Care,2018-02-04,DAX,11,0,1,10
Infineon Technologies AG,2018-02-06,DAX,11,0,8,3
Bayer AG,2018-02-02,DAX,13,0,6,7
Merck KGaA,2018-02-05,DAX,13,2,5,6
Munich Re,2018-02-05,DAX,13,1,7,5
Infineon Technologies AG,2018-02-05,DAX,14,0,9,5
Fresenius SE & Co KGaA,2018-02-05,DAX,16,3,5,8
Infineon Technologies AG,2018-02-08,DAX,17,1,7,9
Deutsche Boerse AG,2018-02-02,DAX,18,5,5,8
Merck KGaA,2018-02-03,DAX,19,8,9,2
Deutsche Boerse AG,2018-02-08,DAX,21,0,15,6
Fresenius Medical Care,2018-02-05,DAX,21,7,0,14
Allianz SE,2018-02-03,DAX,22,6,9,7
Fresenius SE & Co KGaA,2018-02-07,DAX,22,2,16,4
Bayer AG,2018-02-05,DAX,23,0,7,16
Deutsche Telekom AG,2018-02-04,DAX,23,0,10,13
Deutsche Boerse AG,2018-02-05,DAX,25,1,15,9
Infineon Technologies AG,2018-02-02,DAX,25,3,11,11
Merck KGaA,2018-02-06,DAX,26,12,3,11
Infineon Technologies AG,2018-02-04,DAX,30,16,11,3
Fresenius SE & Co KGaA,2018-02-02,DAX,31,17,6,8
Deutsche Telekom AG,2018-02-08,DAX,32,0,22,10
Commerzbank AG,2018-02-03,DAX,38,0,7,31
Infineon Technologies AG,2018-02-07,DAX,39,0,20,19
Munich Re,2018-02-07,DAX,39,12,10,17
Commerzbank AG,2018-02-04,DAX,42,2,8,32
Deutsche Boerse AG,2018-02-06,DAX,45,2,20,23
Commerzbank AG,2018-02-06,DAX,46,3,31,12
Commerzbank AG,2018-02-02,DAX,49,0,21,28
Munich Re,2018-02-08,DAX,54,32,13,9
Deutsche Telekom AG,2018-02-06,DAX,55,0,31,24
Merck KGaA,2018-02-02,DAX,55,8,40,7
Fresenius Medical Care,2018-02-02,DAX,56,11,10,35
Commerzbank AG,2018-02-05,DAX,57,6,20,31
Bayer AG,2018-02-08,DAX,58,6,20,32
Commerzbank AG,2018-02-07,DAX,64,11,20,33
Allianz SE,2018-02-02,DAX,65,9,34,22
Deutsche Telekom AG,2018-02-07,DAX,66,0,46,20
Deutsche Telekom AG,2018-02-05,DAX,76,0,51,25
Deutsche Telekom AG,2018-02-03,DAX,79,1,62,16
Infineon Technologies AG,2018-02-03,DAX,88,75,9,4
Allianz SE,2018-02-07,DAX,95,14,32,49
Bayer AG,2018-02-07,DAX,97,4,10,83
Deutsche Telekom AG,2018-02-02,DAX,110,1,20,89
SAP SE,2018-02-03,DAX,111,7,70,34
SAP SE,2018-02-04,DAX,114,12,58,44
Allianz SE,2018-02-06,DAX,173,48,49,76
SAP SE,2018-02-05,DAX,193,9,107,77
SAP SE,2018-02-06,DAX,196,17,84,95
Allianz SE,2018-02-08,DAX,199,67,47,85
Munich Re,2018-02-06,DAX,212,31,43,138
